,0,1
0,INR,79.35000000
1,CLP,917.69000000
2,SGD,1.38179000
3,IDR,14900.00000000
4,MYR,4.45900000
5,NZD,1.60180000
6,ILA,
7,CZK,24.05900000
8,MXN,20.41820000
9,BRL,5.16460000
10,PLN,4.62800000
11,RUB,60.50830000
12,PHP,55.57000000
13,NOK,9.79327000
14,GBP,0.82838000
15,HKD,7.84979000
16,TRY,17.90999000
17,EUR,0.98230000
18,JPY,135.15800000
19,SEK,10.18997000
20,COP,4335.70000000
21,NGN,417.07000000
22,THB,35.73400000
23,CHF,0.96193000
24,DKK,7.31159000
25,PEN,3.90120000
26,SAR,3.75700000
27,CAD,1.29349000
28,ZAR,16.76810000
29,TWD,30.00200000
30,HUF,386.79000000
31,KRW,1303.09000000
32,AUD,1.44440000
33,ISK,136.80000000
34,CNY,6.76160000
35,USD,1.00000000
36,ILS,3.34570000
37,ARS,132.85000000
